"PlotNumber","MyLayer","Species","Cover"
"8529670","D","DICRACU",1.00
"8529670","D","PLAGELL",1.00
"8529670","D","SANIUNC",0.50
"8529670","D","BRACSAL",3.00
"8529670","D","AULAPAL",35.00
"8529670","D","PELTCAN",1.00
"8529670","D","PELTAPH",3.00
"8529670","D","BARBLYC",0.50
"8529670","D","PLEUSCH",1.00
"8529670","D","CLADGRA",0.10
"8529670","D","HYLOSPL",45.00
"8529675","D","CLADMIT",0.20
"8529675","D","LEPTPYR",2.00
"8529675","D","MYURJUL",0.50
"8529675","D","AULAPAL",20.00
"8529675","D","CLADPYX",0.10
"8529675","D","PELTAPH",0.50
"8529675","D","MNIUMAR",2.00
"8529675","D","DISTCAP",3.00
"8529675","D","AMBLSER1",3.00
"8529675","D","HYLOSPL",65.00
"8529675","D","PLAGMED",6.00
"8529675","D","PELTCIN",4.00
"8529676","D","TIMMAUS",2.00
"8529676","D","DISTCAP",3.00
"8529676","D","PELTHOR",0.50
"8529676","D","PLATJUN",0.50
"8529676","D","LEPTPYR",0.20
"8529676","D","PLEUSCH",20.00
"8529676","D","RHYTTRI",0.30
"8529676","D","PELTMEM",1.00
"8529676","D","PTILCRI",10.00
"8529676","D","SANIUNC",4.00
"8529676","D","HYLOSPL",50.00
"8529676","D","EURHPUL",6.00
"8630146","D","HYLOSPL",60.00
"8630146","D","PTILCRI",10.00
"8630146","D","PLEUSCH",40.00
"8630146","D","POLYCOM",10.00
"8630146","D","AULAPAL",13.00
"9003002","D","BRACHYT",0.50
"9003002","D","PTILCRI",0.50
"9003002","D","STEREOC",0.50
"9003043","D","PTILCRI",10.00
"9003043","D","HYLOSPL",1.00
"9003104","D","PTILCRI",5.00
"9003104","D","MNIUM",30.00
"9003104","D","CONOSAL",0.50
"9003104","D","BRACHYT",15.00
"9003104","D","PLEUSCH",5.00
"961167","D","PLAGMED",1.00
"961167","D","BRACHYT",1.00
"9611965","D","MNIUM",0.10
"9611965","D","BRACHYT",1.00
"9611967","D","SANIUNC",0.10
"9611967","D","PLAGMED",3.00
"9611967","D","RHIZPSE",15.00
"9611967","D","HYLOSPL",10.00
"9611967","D","PLEUSCH",10.00
"9611967","D","BRACHYT",5.00
"9611967","D","MARCPOL",0.10
"9611967","D","AULAPAL",1.00
"9611967","D","SCAPANI",0.10
"9611967","D","DICRBRE",0.10
"9624781","D","MARCPOL",0.10
"9624781","D","BRACHYT",15.00
"9624781","D","PLAGASP",5.00
"9624804","D","PTILCRI",1.00
"9624804","D","PLEUSCH",3.00
"9624804","D","HYLOSPL",1.00
"9624804","D","RHIZGLB",2.00
"9624804","D","BRACHYT",3.00
"Cb13011","D","FLAVNIV",0.20
"Cb13011","D","Cerapur",1.00
"Cb13011","D","SYNTRUR",1.00
"Cb13011","D","Thamver",1.00
"Cb13011","D","Cladarb",0.10
"Cb13011","D","Cladunc",0.10
"HLB056","D","PLEUSCH",15.00
"HLB056","D","LOBALIN",0.20
"HLB056","D","RHYTLOR",8.00
"HLB056","D","HYLOSPL",4.00
"HLB056","D","CLADINA",16.00
"HLB056","D","MYLITAY",2.00
"L153","D","DREPANO",1.00
"L153","D","BRYUM",1.00
"L153","D","MNIUM",5.00
"L153","D","DICRANU",1.00
"L185","D","PELTAPH",0.50
"L185","D","RHYTTRI",10.00
"L185","D","MNIUM",5.00
"L185","D","HYLOSPL",20.00
"L185","D","PLAGIOT",1.00
"L185","D","PTILCRI",5.00
"MAHA05","D","CLADINA",4.00
"MAHA05","D","RHYTLOR",15.00
"MAHA05","D","HYLOSPL",2.00
"MAHA05","D","DICRPAI",4.00
"MAHA05","D","SPHAGIR",15.00
"QCIL6","D","BUCKUND",0.10
"QCIL6","D","SCAPBOL",0.10
"QCIL6","D","EURHPRA",0.10
"QCIL6","D","SPHAGNU",0.50
"QCIL6","D","PELLIA",0.10
"QCIL6","D","DICRFUS",5.00
"QCIL6","D","RHYTLOR",5.00
"QCIL6","D","RHYTROB",10.00
"QCIQ10","D","DICRFUS",5.00
"QCIQ10","D","SPHAGNU",1.00
"QCIQ10","D","RHIZGLB",1.00
"QCIQ10","D","POGONAT",1.00
"QCIQ10","D","PELLNEE",5.00
"QCIQ10","D","RHYTLOR",15.00
"QCIQ10","D","POLYALI1",1.00
"QCIQ10","D","SCAPBOL",2.00
"QCIQ14","D","DICRFUS",1.00
"QCIQ14","D","RHYTLOR",2.00
"QCIQ14","D","BUCKUND",0.50
"QCIQ14","D","HYLOSPL",0.50
"QCIQ14","D","RHYTROB",1.00
"QCIQ14","D","SCAPBOL",5.00
"QCIQ14","D","SPHAGNU",4.00
"QCIQ14","D","LOBARIA",1.00
"R0126","D","BRACHYT",0.10
"R0126","D","PLAGMED",20.00
"R0126","D","HYLOSPL",15.00
"R0126","D","PTILCRI",5.00
"R0126","D","TOMENIT",0.10
"R0126","D","PLAGELL",0.10
"R0126","D","HYPNPRA",0.10
"R3027","D","PELTAPH",0.10
"R3027","D","PTILCRI",40.00
"R3027","D","PLEUSCH",13.00
"R3027","D","HYLOSPL",40.00
"R3027","D","RHYTTRI",2.00
"R3027","D","PLAGMED",1.00
"R3039","D","PTILCRI",15.00
"R3039","D","PLEUSCH",35.00
"R3039","D","MNIUM",5.00
"R3039","D","HYLOSPL",40.00
"R3039","D","BRACHYT",5.00
